"","Method","Gradient","mean_peptides","sd_peptides","CV"
"1","DDA","45min",29965.2592592593,4039.02494509783,0.134790255280363
"2","DDA","22min",19536.3703703704,1310.10246657827,0.067059665728145
"3","DDA","5min",3689.51851851852,324.573017785896,0.0879716462071655
"4","DIA","45min",41760.3703703704,3200.80804879677,0.0766470225337798
"5","DIA","22min",40541.4615384615,2905.20891132833,0.0716601918402021
"6","DIA","5min",10887.5925925926,501.719831353903,0.0460817969709162
"7","Slice","45min",44657.6296296296,2548.0775128312,0.057058055565506
"8","Slice","22min",38608,2082.51116905307,0.0539398873045241
"9","Slice","5min",10902.2592592593,2547.39185763661,0.233657244526919
"10","Synchro","45min",34180.8888888889,3187.79931726881,0.0932626219180935
"11","Synchro","22min",32214.4074074074,2580.20504938389,0.0800947543983252
"12","Synchro","5min",10991.5185185185,571.071487534305,0.0519556498560379
"13","Midia","45min",34428.6296296296,3784.76923540157,0.109930870793195
"14","Midia","22min",35378.5925925926,4525.2819908671,0.127910175596261
"15","Midia","5min",6942.07407407407,344.881353726391,0.0496798723330233
