"","Methods","Gradient","Origin","mean_protein","sd_protein"
"1","DDA","22min","Host",258,9.28708781050335
"2","DDA","22min","Microbe",7916.33333333333,320.482448817404
"3","DDA","45min","Host",327.222222222222,22.8898327744972
"4","DDA","45min","Microbe",10024.7777777778,640.256741037878
"5","DDA","5min","Host",128,7.19374728496908
"6","DDA","5min","Microbe",2683.77777777778,146.861991149666
"7","DIA","22min","Host",572.666666666667,21.9317121994613
"8","DIA","22min","Microbe",18992.3333333333,451.037692438226
"9","DIA","45min","Host",644.555555555556,72.9762137807778
"10","DIA","45min","Microbe",19409.1111111111,322.968436710325
"11","DIA","5min","Host",257,5.29150262212918
"12","DIA","5min","Microbe",8308.88888888889,288.394454022804
"13","Midia","22min","Host",588.222222222222,15.9042272507797
"14","Midia","22min","Microbe",18319.7777777778,340.582507543245
"15","Midia","45min","Host",573.444444444444,20.7371111242086
"16","Midia","45min","Microbe",18098.1111111111,499.569425716898
"17","Midia","5min","Host",234.666666666667,6.32455532033676
"18","Midia","5min","Microbe",5891.44444444444,173.425856716286
"19","Slice","22min","Host",582.444444444444,37.4269659173406
"20","Slice","22min","Microbe",18792.1111111111,408.771465627325
"21","Slice","45min","Host",628.666666666667,22.8910462845192
"22","Slice","45min","Microbe",19913.1111111111,251.089846690604
"23","Slice","5min","Host",236.666666666667,29.4278779391243
"24","Slice","5min","Microbe",7968.22222222222,1488.70789426417
"25","Synchro","22min","Host",506.444444444444,15.9068468835837
"26","Synchro","22min","Microbe",17487.3333333333,674.199339958146
"27","Synchro","45min","Host",517,27.8836869871974
"28","Synchro","45min","Microbe",17967.2222222222,564.441710404577
"29","Synchro","5min","Host",248.333333333333,8.86002257333467
"30","Synchro","5min","Microbe",8237.22222222222,375.32778267062
